Id,Name,Gender,species,status,episodes
1,Rick Sanchez,Male,Human,Alive,51
2,Morty Smith,Male,Human,Alive,51
3,Summer Smith,Female,Human,Alive,42
4,Beth Smith,Female,Human,Alive,42
5,Jerry Smith,Male,Human,Alive,39
6,Abadango Cluster Princess,Female,Alien,Alive,1
7,Abradolf Lincler,Male,Human,unknown,2
8,Adjudicator Rick,Male,Human,Dead,1
9,Agency Director,Male,Human,Dead,1
10,Alan Rails,Male,Human,Dead,1
11,Albert Einstein,Male,Human,Dead,1
12,Alexander,Male,Human,Dead,1
13,Alien Googah,unknown,Alien,unknown,1
14,Alien Morty,Male,Alien,unknown,1
15,Alien Rick,Male,Alien,unknown,1
16,Amish Cyborg,Male,Alien,Dead,1
17,Annie,Female,Human,Alive,1
18,Antenna Morty,Male,Human,Alive,2
19,Antenna Rick,Male,Human,unknown,1
20,Ants in my Eyes Johnson,Male,Human,unknown,1
